Comment,Rate,Time,User
"Đã xài dc 1 năm, cập nhật đầy đủ nên vẫn còn mượt. Lúc mới mua xài mạng 4G, xài liên tục đa nhiệm youtube + nhắn tin zalo với độ sáng màn hình tự động khoảng 60-80% thì mức hao pin khoảng 10-12%/1 tiếng; chơi liên quân cấu hình cao-cao-cao thì tốn khoảng 5-6% pin 1 trận. Sau 1 năm với mức độ sạc 1-2 lần/ngày thì mức hao pin khi xem youtube chất lượng 720 bằng mạng 4G là khoảng 13-15%/1 tiếng với độ sáng màn hình 60-80%; game liên quân cấu hình cao-cao-cao vẫn khoảng 5-7% pin cho 1 trận, tuy nhiên game đã thỉnh thoảng giật lag không còn mượt như 1 năm trước, nhưng điều này là tất yếu. Ai muốn tiết kiệm pin hơn thì xài wifi sẽ đỡ hao pin hơn 4G. ",4,1 tuần trước,Minh Tuấn
,0,,
"Sử dụng được 11 tháng. Cảm giác máy khá ổn. Lâu lâu có bị lỗi nhỏ nhưng không đáng kể. Pin hơn 7h xem phim liên tục, chưa thấy dấu hiệu chai pin. ",4,1 tuần trước,Trtrnh
,0,,
"Xài ổn, pin trâu sạc nhanh, camera chụp đẹp, chơi game mượt, có điều bắt sóng wifi không được tốt lắm.",5,08/05/2020,Nguyễn Lương Kim Hảo
,0,,
"Tôi  sử  dụng  gần 1 năm thì  sạc nhanh  không  hoạt đồng
Có  ai  bk  cách sữa  lỗi  không  ạ",3,30/04/2020,Minh
Tui cv,0,3 tuần trước,Thiện
Mình cũng bị trình trạng như vậy,0,1 tuần trước,Của
,0,,
"Từ lúc máy nâng cấp lên Android 10 là có hiện tượng máy giật lag kinh khủng, dù mình không xài ứng dụng gì nhiều, đang bấm phím thì màn hình tắt đột ngột, mở lại rất là lâu, không biết do lỗi màn hình hay lỗi gì nữa.",1,28/04/2020,Nhật Huy
"Các máy samsung chạy chip esynoss lên android 10 dường như bị lag , mấy máy samsung chagj chip snap thì kl cls bị",0,08/05/2020,Đặng Khánh Đạt
Tui dang sai androi 10 nè. Thấy bt. Sài thi vô coi mấy cái mẹo mà tat đi. ,0,4 tuần trước,Nguyễn phong điền
,0,,
"Mình mua em này từ tháng 7/2019. Thực sự rất hài lòng. Cảm ứng mượt, chụp hình đẹp. Mình vừa update lên Android 10, khá mượt, có thêm 1 số chức năng mới. Giá khá hời với 1 chiếc đth như thế này. Giá thành khá phù hợp với các bạn hs sv muốn có 1 đth tốt.",5,19/04/2020,Phương Thảo
,0,,
Sản phẩm mua về mới sài thì ổn sau khi cập nhật thì có hiện tượng treo logo làm sao để khắc phục ạ ??,3,18/04/2020,Cúc Huỳnh
"Mình cũng bị hiện tượng treo logo, đang xài thì máy tự động tắt, mở lại rất là lâu",0,28/04/2020,Nhật Huy
,0,,
